PROVA1	PROVA2	TRABALHO	SITUAÇÃO
0.75	0.7	0.93	Aprovado
0.25	0.0	0.12	Reprovado
0.8	0.9	0.87	Aprovado
0.88	1.0	1.0	Aprovado
0.813	1.0	1.0	Aprovado
0.75	1.0	0.92	Aprovado
0.75	0.8	0.23	Aprovado
0.94	0.8	0.4	Aprovado
0.643	0.5	0.0	Reprovado
0.5	0.15	0.3	Reprovado
0.62	0.5	0.59	Reprovado
0.66	0.8	1.0	Aprovado
0.25	0.0	0.0	Reprovado
0.933	1.0	0.67	Aprovado
0.24	0.3	0.6	Reprovado
0.6	0.3	0.53	Reprovado
0.62	0.4	0.39	Reprovado
0.94	0.8	0.61	Aprovado
0.25	0.15	0.3	Reprovado
1.0	0.9	0.67	Aprovado
0.5	0.8	0.59	Aprovado
0.95	0.75	0.4	Aprovado
0.51	0.5	0.84	Aprovado
0.867	0.9	0.5	Aprovado
0.467	0.3	0.67	Reprovado
0.875	0.8	0.33	Aprovado
0.63	0.5	0.08	Reprovado
0.813	0.9	0.43	Aprovado
0.688	0.6	0.33	Reprovado
0.63	0.7	0.66	Aprovado
0.63	0.7	0.51	Aprovado
0.85	0.7	0.85	Aprovado
0.857	1.0	0.63	Aprovado
0.938	0.8	0.67	Aprovado
0.84	0.7	0.97	Aprovado
0.643	0.2	0.0	Reprovado
1.0	1.0	0.77	Aprovado
0.917	1.0	0.65	Aprovado
0.54	0.3	0.74	Reprovado
0.625	0.3	0.17	Reprovado
0.583	0.8	0.67	Aprovado
0.72	0.8	1.0	Aprovado
0.6	0.75	0.65	Aprovado
0.8	0.3	0.4	Reprovado
0.5	0.9	0.47	Aprovado
0.86	0.8	0.0	Reprovado
0.42	0.6	0.98	Aprovado
0.8	0.75	0.23	Aprovado
0.833	0.9	1.0	Aprovado
0.69	0.5	0.23	Reprovado
0.81	1.0	0.67	Aprovado
0.714	0.9	0.94	Aprovado
0.867	1.0	0.31	Aprovado
0.667	0.7	0.64	Aprovado
0.0	0.0	0.0	Reprovado
0.5	0.5	0.24	Reprovado
0.92	1.0	1.0	Aprovado
0.833	1.0	0.57	Aprovado
0.875	0.5	0.68	Aprovado
0.84	0.8	0.87	Aprovado
0.75	1.0	1.0	Aprovado
0.36	0.8	0.89	Aprovado
0.56	0.7	0.89	Aprovado
0.75	0.7	0.71	Aprovado
0.84	1.0	1.0	Aprovado
0.6	0.5	0.8	Aprovado
0.933	0.9	0.63	Aprovado
0.72	0.7	0.94	Aprovado
0.5	0.5	0.1	Reprovado
0.875	0.7	0.67	Aprovado
0.64	0.7	0.97	Aprovado
0.8	1.0	1.0	Aprovado
0.2	0.15	0.05	Reprovado
0.5	0.9	0.5	Aprovado
