PROVA1	PROVA2	TRABALHO	SITUACAO_Aprovado	SITUACAO_Reprovado
0.75	0.7	0.93	True	False
0.25	0.0	0.12	False	True
0.8	0.9	0.87	True	False
0.88	1.0	1.0	True	False
0.813	1.0	1.0	True	False
0.75	1.0	0.92	True	False
0.75	0.8	0.23	True	False
0.94	0.8	0.4	True	False
0.643	0.5	0.0	False	True
0.5	0.15	0.3	False	True
0.62	0.5	0.59	False	True
0.66	0.8	1.0	True	False
0.25	0.0	0.0	False	True
0.933	1.0	0.67	True	False
0.24	0.3	0.6	False	True
0.6	0.3	0.53	False	True
0.62	0.4	0.39	False	True
0.94	0.8	0.61	True	False
0.25	0.15	0.3	False	True
1.0	0.9	0.67	True	False
0.5	0.8	0.59	True	False
0.95	0.75	0.4	True	False
0.51	0.5	0.84	True	False
0.867	0.9	0.5	True	False
0.467	0.3	0.67	False	True
0.875	0.8	0.33	True	False
0.63	0.5	0.08	False	True
0.813	0.9	0.43	True	False
0.688	0.6	0.33	False	True
0.63	0.7	0.66	True	False
0.63	0.7	0.51	True	False
0.85	0.7	0.85	True	False
0.857	1.0	0.63	True	False
0.938	0.8	0.67	True	False
0.84	0.7	0.97	True	False
0.643	0.2	0.0	False	True
1.0	1.0	0.77	True	False
0.917	1.0	0.65	True	False
0.54	0.3	0.74	False	True
0.625	0.3	0.17	False	True
0.583	0.8	0.67	True	False
0.72	0.8	1.0	True	False
0.6	0.75	0.65	True	False
0.8	0.3	0.4	False	True
0.5	0.9	0.47	True	False
0.86	0.8	0.0	False	True
0.42	0.6	0.98	True	False
0.8	0.75	0.23	True	False
0.833	0.9	1.0	True	False
0.69	0.5	0.23	False	True
0.81	1.0	0.67	True	False
0.714	0.9	0.94	True	False
0.867	1.0	0.31	True	False
0.667	0.7	0.64	True	False
0.0	0.0	0.0	False	True
0.5	0.5	0.24	False	True
0.92	1.0	1.0	True	False
0.833	1.0	0.57	True	False
0.875	0.5	0.68	True	False
0.84	0.8	0.87	True	False
0.75	1.0	1.0	True	False
0.36	0.8	0.89	True	False
0.56	0.7	0.89	True	False
0.75	0.7	0.71	True	False
0.84	1.0	1.0	True	False
0.6	0.5	0.8	True	False
0.933	0.9	0.63	True	False
0.72	0.7	0.94	True	False
0.5	0.5	0.1	False	True
0.875	0.7	0.67	True	False
0.64	0.7	0.97	True	False
0.8	1.0	1.0	True	False
0.2	0.15	0.05	False	True
0.5	0.9	0.5	True	False
