PROVA1	PROVA2	TRABALHO	SITUAÇÃO
0.72	0.9	1.0	Aprovado
0.42	0.5	0.64	Reprovado
0.8	0.65	0.95	Aprovado
0.84	0.8	1.0	Aprovado
0.786	0.4	0.33	Reprovado
0.75	0.5	0.33	Reprovado
0.833	1.0	0.32	Aprovado
0.75	1.0	0.45	Aprovado
0.81	1.0	0.5	Aprovado
0.47	0.5	0.88	Aprovado
0.76	0.8	1.0	Aprovado
0.88	0.8	0.77	Aprovado
0.3	0.0	0.18	Reprovado
0.5	0.7	0.0	Reprovado
0.5	0.6	0.16	Reprovado
0.94	1.0	1.0	Aprovado
0.75	1.0	0.27	Aprovado
0.92	0.7	0.65	Aprovado
0.77	0.6	0.98	Aprovado
0.69	0.4	0.31	Reprovado
0.917	1.0	0.67	Aprovado
0.8	0.9	0.29	Aprovado
0.813	1.0	0.67	Aprovado
0.733	0.9	0.33	Aprovado
0.583	0.9	0.13	Reprovado
0.88	0.8	0.57	Aprovado
0.88	0.7	0.35	Aprovado
0.75	0.7	0.33	Aprovado
0.5	1.0	0.39	Aprovado
1.0	1.0	0.97	Aprovado
0.75	0.75	0.1	Reprovado
0.5	0.7	0.19	Reprovado
0.714	0.5	0.46	Reprovado
0.56	0.5	0.87	Aprovado
0.5	0.8	0.0	Reprovado
0.88	0.7	0.87	Aprovado
0.938	0.9	1.0	Aprovado
0.45	0.3	0.16	Reprovado
0.64	1.0	0.7	Aprovado
0.875	0.7	0.5	Aprovado
0.833	0.7	0.67	Aprovado
0.51	0.3	0.67	Reprovado
0.84	0.7	0.33	Aprovado
0.625	0.5	0.33	Reprovado
0.5	1.0	0.33	Aprovado
0.833	1.0	0.7	Aprovado
0.833	1.0	0.41	Aprovado
0.875	1.0	0.74	Aprovado
0.833	0.8	0.87	Aprovado
0.867	1.0	0.93	Aprovado
0.8	0.75	0.83	Aprovado
0.16	0.3	0.31	Reprovado
0.6	0.6	0.6	Aprovado
0.63	0.0	0.33	Reprovado
0.8	0.9	1.0	Aprovado
0.667	1.0	1.0	Aprovado
0.467	0.9	0.2	Reprovado
0.643	0.9	0.94	Aprovado
0.88	1.0	0.83	Aprovado
0.81	0.9	0.47	Aprovado
0.6	0.0	0.52	Reprovado
0.833	0.7	0.53	Aprovado
0.94	0.9	0.57	Aprovado
0.875	1.0	0.99	Aprovado
0.8	1.0	0.33	Aprovado
0.938	1.0	0.33	Aprovado
0.88	0.6	0.0	Reprovado
0.813	0.7	0.39	Aprovado
0.7	0.35	0.95	Aprovado
0.938	1.0	0.95	Aprovado
0.81	0.9	0.61	Aprovado
0.917	0.9	1.0	Aprovado
0.688	1.0	0.33	Aprovado
1.0	1.0	0.67	Aprovado
0.84	0.9	0.49	Aprovado
0.417	0.7	0.83	Aprovado
0.45	0.0	0.42	Reprovado
0.5	0.8	0.78	Aprovado
0.68	0.5	0.62	Reprovado
0.15	0.0	0.26	Reprovado
0.69	0.8	0.43	Aprovado
0.86	0.7	0.81	Aprovado
0.875	0.5	0.95	Aprovado
0.81	0.8	0.59	Aprovado
0.95	0.0	0.15	Reprovado
1.0	1.0	1.0	Aprovado
0.833	0.9	0.63	Aprovado
0.5	0.3	0.57	Reprovado
0.56	1.0	0.8	Aprovado
0.33	0.6	0.51	Reprovado
0.94	0.9	0.39	Aprovado
0.45	0.15	0.2	Reprovado
0.81	0.8	0.63	Aprovado
0.5	0.8	0.21	Reprovado
0.32	0.6	0.91	Aprovado
0.7	0.5	0.65	Aprovado
0.733	0.9	0.25	Aprovado
0.94	0.9	0.57	Aprovado
0.51	0.6	0.73	Aprovado
0.81	1.0	0.62	Aprovado
0.833	0.9	0.86	Aprovado
0.18	0.4	0.94	Reprovado
0.875	0.5	0.63	Aprovado
0.88	0.7	0.83	Aprovado
0.75	1.0	0.0	Aprovado
0.643	0.6	0.75	Aprovado
0.48	0.4	0.06	Reprovado
0.84	1.0	0.91	Aprovado
0.42	0.4	0.95	Reprovado
0.75	0.95	0.21	Aprovado
0.25	0.0	0.2	Reprovado
0.56	0.7	0.0	Reprovado
0.75	1.0	0.33	Aprovado
0.643	0.9	0.27	Aprovado
0.938	1.0	0.94	Aprovado
0.75	1.0	0.6	Aprovado
0.51	0.7	0.87	Aprovado
1.0	1.0	0.87	Aprovado
0.94	0.9	0.33	Aprovado
0.933	1.0	0.33	Aprovado
0.2	0.15	0.2	Reprovado
0.8	0.48	0.88	Aprovado
0.7	0.45	0.42	Reprovado
0.48	0.4	0.77	Reprovado
0.867	0.8	0.0	Reprovado
0.56	0.4	0.69	Reprovado
0.75	0.9	0.89	Aprovado
0.52	0.4	0.73	Reprovado
0.94	1.0	0.32	Aprovado
1.0	0.9	0.48	Aprovado
0.857	0.5	0.44	Aprovado
0.833	0.7	0.74	Aprovado
0.15	0.15	0.11	Reprovado
0.643	0.4	0.0	Reprovado
0.69	0.8	1.0	Aprovado
0.733	1.0	1.0	Aprovado
0.48	0.4	0.33	Reprovado
0.867	0.9	0.67	Aprovado
0.81	1.0	0.0	Aprovado
0.74	0.7	1.0	Aprovado
0.48	0.5	0.94	Aprovado
0.94	1.0	0.52	Aprovado
0.786	0.6	0.58	Aprovado
0.75	0.5	0.33	Reprovado
0.92	0.7	0.89	Aprovado
0.571	0.7	0.33	Reprovado
0.5	0.3	0.15	Reprovado
