PROVA1	PROVA2	TRABALHO	SITUACAO_Aprovado	SITUACAO_Reprovado
0.72	0.9	1.0	True	False
0.42	0.5	0.64	False	True
0.8	0.65	0.95	True	False
0.84	0.8	1.0	True	False
0.786	0.4	0.33	False	True
0.75	0.5	0.33	False	True
0.833	1.0	0.32	True	False
0.75	1.0	0.45	True	False
0.81	1.0	0.5	True	False
0.47	0.5	0.88	True	False
0.76	0.8	1.0	True	False
0.88	0.8	0.77	True	False
0.3	0.0	0.18	False	True
0.5	0.7	0.0	False	True
0.5	0.6	0.16	False	True
0.94	1.0	1.0	True	False
0.75	1.0	0.27	True	False
0.92	0.7	0.65	True	False
0.77	0.6	0.98	True	False
0.69	0.4	0.31	False	True
0.917	1.0	0.67	True	False
0.8	0.9	0.29	True	False
0.813	1.0	0.67	True	False
0.733	0.9	0.33	True	False
0.583	0.9	0.13	False	True
0.88	0.8	0.57	True	False
0.88	0.7	0.35	True	False
0.75	0.7	0.33	True	False
0.5	1.0	0.39	True	False
1.0	1.0	0.97	True	False
0.75	0.75	0.1	False	True
0.5	0.7	0.19	False	True
0.714	0.5	0.46	False	True
0.56	0.5	0.87	True	False
0.5	0.8	0.0	False	True
0.88	0.7	0.87	True	False
0.938	0.9	1.0	True	False
0.45	0.3	0.16	False	True
0.64	1.0	0.7	True	False
0.875	0.7	0.5	True	False
0.833	0.7	0.67	True	False
0.51	0.3	0.67	False	True
0.84	0.7	0.33	True	False
0.625	0.5	0.33	False	True
0.5	1.0	0.33	True	False
0.833	1.0	0.7	True	False
0.833	1.0	0.41	True	False
0.875	1.0	0.74	True	False
0.833	0.8	0.87	True	False
0.867	1.0	0.93	True	False
0.8	0.75	0.83	True	False
0.16	0.3	0.31	False	True
0.6	0.6	0.6	True	False
0.63	0.0	0.33	False	True
0.8	0.9	1.0	True	False
0.667	1.0	1.0	True	False
0.467	0.9	0.2	False	True
0.643	0.9	0.94	True	False
0.88	1.0	0.83	True	False
0.81	0.9	0.47	True	False
0.6	0.0	0.52	False	True
0.833	0.7	0.53	True	False
0.94	0.9	0.57	True	False
0.875	1.0	0.99	True	False
0.8	1.0	0.33	True	False
0.938	1.0	0.33	True	False
0.88	0.6	0.0	False	True
0.813	0.7	0.39	True	False
0.7	0.35	0.95	True	False
0.938	1.0	0.95	True	False
0.81	0.9	0.61	True	False
0.917	0.9	1.0	True	False
0.688	1.0	0.33	True	False
1.0	1.0	0.67	True	False
0.84	0.9	0.49	True	False
0.417	0.7	0.83	True	False
0.45	0.0	0.42	False	True
0.5	0.8	0.78	True	False
0.68	0.5	0.62	False	True
0.15	0.0	0.26	False	True
0.69	0.8	0.43	True	False
0.86	0.7	0.81	True	False
0.875	0.5	0.95	True	False
0.81	0.8	0.59	True	False
0.95	0.0	0.15	False	True
1.0	1.0	1.0	True	False
0.833	0.9	0.63	True	False
0.5	0.3	0.57	False	True
0.56	1.0	0.8	True	False
0.33	0.6	0.51	False	True
0.94	0.9	0.39	True	False
0.45	0.15	0.2	False	True
0.81	0.8	0.63	True	False
0.5	0.8	0.21	False	True
0.32	0.6	0.91	True	False
0.7	0.5	0.65	True	False
0.733	0.9	0.25	True	False
0.94	0.9	0.57	True	False
0.51	0.6	0.73	True	False
0.81	1.0	0.62	True	False
0.833	0.9	0.86	True	False
0.18	0.4	0.94	False	True
0.875	0.5	0.63	True	False
0.88	0.7	0.83	True	False
0.75	1.0	0.0	True	False
0.643	0.6	0.75	True	False
0.48	0.4	0.06	False	True
0.84	1.0	0.91	True	False
0.42	0.4	0.95	False	True
0.75	0.95	0.21	True	False
0.25	0.0	0.2	False	True
0.56	0.7	0.0	False	True
0.75	1.0	0.33	True	False
0.643	0.9	0.27	True	False
0.938	1.0	0.94	True	False
0.75	1.0	0.6	True	False
0.51	0.7	0.87	True	False
1.0	1.0	0.87	True	False
0.94	0.9	0.33	True	False
0.933	1.0	0.33	True	False
0.2	0.15	0.2	False	True
0.8	0.48	0.88	True	False
0.7	0.45	0.42	False	True
0.48	0.4	0.77	False	True
0.867	0.8	0.0	False	True
0.56	0.4	0.69	False	True
0.75	0.9	0.89	True	False
0.52	0.4	0.73	False	True
0.94	1.0	0.32	True	False
1.0	0.9	0.48	True	False
0.857	0.5	0.44	True	False
0.833	0.7	0.74	True	False
0.15	0.15	0.11	False	True
0.643	0.4	0.0	False	True
0.69	0.8	1.0	True	False
0.733	1.0	1.0	True	False
0.48	0.4	0.33	False	True
0.867	0.9	0.67	True	False
0.81	1.0	0.0	True	False
0.74	0.7	1.0	True	False
0.48	0.5	0.94	True	False
0.94	1.0	0.52	True	False
0.786	0.6	0.58	True	False
0.75	0.5	0.33	False	True
0.92	0.7	0.89	True	False
0.571	0.7	0.33	False	True
0.5	0.3	0.15	False	True
